source,created_at,full_text,favorite_count,retweet_count
Diken,3-May,CHP’den ‘FETÖ’nün seçmen ayağı’nı soran Bahçeli’ye: Gidicisiniz http://www.diken.com.tr/chpden-fetonun-secmen-ayagini-soran-bahceliye-gidicisiniz/ …,27,7
Diken,1-Oct,Din dersi öğretmeni ‘Alevilerin yaptığı yemek yenmez’ demiş: Görevden alındı http://www.diken.com.tr/din-dersi-ogretmeni-alevilerin-yaptigi-yemek-yenmez-demis-gorevden-alindi/ …,47,11
Diken,29-Oct-18,Akşener bayramı Birinci Meclis’te kutladı: Rantiyecilerin şantiyesinde olmayız http://www.diken.com.tr/aksener-bayrami-birinci-mecliste-kutladi-randiyecilerin-santiyesinde-olmayiz/ …,36,8
Diken,29-Aug-18,Çiğdem Toker: THY’nin TRT kadar milli hassasiyet sahibi olmadığını kim söyleyebilir?  http://www.diken.com.tr/cigdem-toker-thynin-trt-kadar-milli-hassasiyet-sahibi-olmadigini-kim-soyleyebilir/ …,6,0
Diken,21-Oct-18,CHP’li belediye başkanı ‘dombra’ eşliğinde AKP’ye geçti: Özüme döndüm http://www.diken.com.tr/chpli-belediye-baskani-akpye-gecti-ozume-dondum/ …,46,14
Diken,28-Aug-18,"‘Ek mesai’ ödemelerinde kesinti: Çalışanlar iş bıraktı, KKTC’de uçuşlar durdu http://www.diken.com.tr/ek-mesai-odemelerinde-kesinti-calisanlar-is-birakti-kktcde-ucuslar-durdu/ …",17,8
Diken,26-Sep-18,"Talep daraldı, üretim azaldı ve… 50 yıllık ambalaj devi Eminiş’ten de konkordato http://www.diken.com.tr/talep-daraldi-uretim-azaldi-ve-50-yillik-ambalaj-devi-eministen-de-konkordato/ …",33,36
Diken,29-May-18,Yılmaz Özdil: Yemeni devrimi yaşanıyor http://www.diken.com.tr/yilmaz-ozdil-yemeni-devrimi-yasaniyor/ …,13,3
Diken,5-Oct,Ali Sirmen: Sağın diliyle sol siyaset yapılmaz; o kıçın kıçın dalan şaşkın ördek politikası olur http://www.diken.com.tr/ali-sirmen-sagin-diliyle-sol-siyaset-yapilmaz-o-kicin-kicin-dalan-saskin-ordek-politikasi-olur/ …,12,2
Diken,9-May,Murat Muratoğlu: Akşener’in vaadi seçmende ciddi anlamda karşılık bulabilir http://www.diken.com.tr/murat-muratoglu-aksenerin-vaadi-secmende-ciddi-anlamda-karsilik-bulabilir/ …,24,7
Diken,11-Sep-18,"İmam hatipliler araştırdı: Bize ‘arka bahçe’ deniyor, bilimsel başarılarımız görülmüyor http://www.diken.com.tr/imam-hatipliler-arastirdi-bize-arka-bahce-deniyor-bilimsel-basarilarimiz-gorulmuyor/ …",38,11
