source,tweet_id,created_at,full_text,favorite_count,retweet_count
Evrensel,6.62176E+17,Thu Nov 05 07:55:20 +0000 2015,"""Başkan""lık tartışmasına Fed'in faiz açıklaması da eklenince dolar 2.86 TL'yi de aştı. https://t.co/KI8PQ2kG8l https://t.co/XmwRPOrLlb",2,4
Evrensel,6.62172E+17,Thu Nov 05 07:36:23 +0000 2015,#Silvan - Gezici'nin cenazesi polis saldırıları nedeniyle mahalleden çıkartılamıyor https://t.co/H9DNnbpMqE https://t.co/i6kLL9mRss,13,31
Evrensel,6.62165E+17,Thu Nov 05 07:10:25 +0000 2015,"İrfan Açıkgöz yazdı: Kaos, seçim ve ötelenen barış. https://t.co/xVgz9rby3u https://t.co/0nSU4j6aG4",6,8
Evrensel,6.62162E+17,Thu Nov 05 07:00:03 +0000 2015,Elazığ'ın Arıcak ve Diyarbakır'ın Dicle ilçesinde sokağa çıkma yasağı ilan edildi. https://t.co/Rw3eN9bFv1 https://t.co/rqVsiLvU0w,5,16
Evrensel,6.62161E+17,Thu Nov 05 06:53:49 +0000 2015,"Mersin'de işyerini terk etmeme eylemi, Şişecam patronuna geri adım attırdı. @Kristal_Is https://t.co/KBQsmrfFjM https://t.co/DtjVqYxPMj",11,15
Evrensel,6.62158E+17,Thu Nov 05 06:41:43 +0000 2015,Kıyıma karşı direnen Mersinli cam işçileri dayanışma bekliyor. @Kristal_Is https://t.co/xntqxFjLhA https://t.co/FPUkhSYfQp,9,19
Evrensel,6.62157E+17,Thu Nov 05 06:39:04 +0000 2015,"Diyarbakır'da Silvan, Lice ve Hani'den sonra Dicle ilçesinde sokağa çıkma yasağı ilan edildi https://t.co/jGdn2Vu6Qp https://t.co/GsGns53FoQ",9,22
Evrensel,6.62153E+17,Thu Nov 05 06:21:52 +0000 2015,"İlker Aktükün yazdı: Futbol kokuyordu, Hacıosmanoğlu tüy dikti. @iaktukun https://t.co/HH0UhUZf2F https://t.co/mNCPjlFuBm",4,5
Evrensel,6.62149E+17,Thu Nov 05 06:06:16 +0000 2015,Arif Nacaroğlu yazdı: Havlama https://t.co/QLkYlj4DLX https://t.co/zw1XWWBT8I,2,1
Evrensel,6.62144E+17,Thu Nov 05 05:46:09 +0000 2015,İngiliz ve Amerikan istihbarat yetkilileri: Rus uçağı bombayla düşürülmüş olabilir. https://t.co/xfc2KDiCAW https://t.co/wVy6xso3vD,2,2
