0,1,2,3,4,5
Limon,796655483784462337,2016-11-10 10:07:23,İstanbullulara iyi haber! Sona yaklaşıldı https://t.co/40dQRMuUsU https://t.co/86rHbLZkQq,8,3
Limon,806472839197065216,2016-12-07 12:18:03,Yutulan sakız kaç sene midede kalıyor? https://t.co/dpevqhHnVj https://t.co/AGtOZYLTyd,3,5
Limon,836996973114839040,2017-03-01 17:50:03,Meclis’ten evlilik programları için karar çıktı https://t.co/jqn0V3DxUe https://t.co/nOoUR3jDGT,10,4
Limon,1176933720026230786,2019-09-25 18:57:19,Görevi aldı... Zamanlaması dikkat çekti https://t.co/AlK8WUdrVw,7,1
Limon,875809832787484672,2017-06-16 20:18:30,#Türkiyeyleİlgili ABD Elçiliği Şişli Ağaoğlu Sokak ve Mecidiyeköy bölgesi için #terör uyarısı yaptı. https://t.co/EnZl6AbRHM,0,3
Limon,958326743068180480,2018-01-30 13:11:15,Sergen Yalçın yeniden Süper Lig'de https://t.co/jHM1rU8DMi https://t.co/ugRgkc8KAO,2,2
Limon,1092689280395300867,2019-02-05 07:40:00,"Olayı öğrenen şoför kapıları kilitledi, kimseyi indirmedi! https://t.co/IxYoPvaxrU https://t.co/ugYLKhCAiy",4,0
Limon,836517878337798144,2017-02-28 10:06:18,#WhatsApp'ın yeni özelliği sadece bazı kullanıcılara gelecek https://t.co/O6Xotz9AyF https://t.co/cVTRKtRyEO,21,5
Limon,1081167980371824640,2019-01-04 12:38:28,Binali Yıldırım'dan tek cümlelik Ekrem İmamoğlu yorumu https://t.co/08MQ2aPOHs https://t.co/9aw2ORjyEz,1,0
Limon,1102543070585856000,2019-03-04 12:15:26,Ocak ayında kaybolan 22 yaşındaki müzisyenden acı haber geldi https://t.co/Q1SLwBS43k https://t.co/wOb9RjbVvh,2,0
Limon,1037737202653057024,2018-09-06 16:20:03,LeMan Genel Yayın Yönetmeni Akgün: Parayı bulsanız bile... https://t.co/q4WQe5QNnn https://t.co/v0NLVSEUBg,3,1
Limon,788297652588908545,2016-10-18 08:36:20,G.O.R.A hayranlarına müjdeli haber https://t.co/h7wtbLbNHv https://t.co/P4uwxLFW6L,49,22
Limon,909820648029147136,2017-09-18 16:45:20,İstanbullular dikkat! AKOM uyardı https://t.co/H694k7FZQ1 https://t.co/CM8d8lvIC2,4,6
Limon,1117011366798352384,2019-04-13 10:27:17,Böyle görüntülenmişlerdi! Çocuklar kabul etti ama büyükler inkar etti https://t.co/alBS1wPtEH https://t.co/o91l0NN3TP,3,1
Limon,975065490056937484,2018-03-17 17:45:03,İstanbullular dikkat! 5 ilçede 24 saat su kesilecek https://t.co/9hMgerFQRD https://t.co/FzershVKPg,4,1
Limon,1092493970763063296,2019-02-04 18:43:54,Korkutan deprem! O ilimiz beşik gibi sallandı https://t.co/c2GEmIS4ER https://t.co/uzRK9PaL0g,4,1
Limon,1064442509659643904,2018-11-19 08:57:25,Sürücüler dikkat! Artık o ilçede de drone ile denetim başladı https://t.co/CxGs71ZCUh https://t.co/cLifd9AtQ5,1,0
